pendant que	SCONJ
petit à petit	ADV
petit déjeuner	NOUN
peu à peu	ADV
peut-être que	SCONJ
plus ou moins	ADV
pour autant	ADV
pour ce faire	ADV %guy
pour le heure	ADV %guy
pour un peu	ADV
quelque chose	PRON
quelque un	PRON
qui que ce être	SCONJ
ras le bol	NOUN
salle à manger	ADV
sans cesse	ADV
sans doute	ADV
sans faute	ADV
savoir faire	NOUN %guy
si besoin	ADV
si ce ne être	VERB
si jamais	SCONJ
si possible	X
sous couvert de	ADP
%sous forme de	ADP guy
%sous prétexte que	SCONJ guy
%suite à	ADP guy
sur le champ	ADV
sur le point de	ADP
sur place	ADV
tant que	SCONJ
tel quel	ADJ
tenir compte	VERB
tête à tête	NOUN
tour à tour	ADV %guy
%tout comme	X guy
tout de abord	ADV
tout de le long	ADV
%tout de même	ADV guy
tout de suite	ADV
un petit peu	ADV %guy
un peu	ADV %guy
y comprendre	ADP %guy
%y compris	ADV guy
